Permit,Premises Name,Premises Address,Start date,End date,Ext,Table Area,
171,The Abbotsford,3-5 Rose Street,01 April 2019,31 March 2020,22:00,7.0m x 3.5m (area reduced to 7.0m x 2.5m from 9.00 am to 10.30 am and 20.0pm to 22.00pm),
173,The Ship On The Shore,24-26 Shore,31 March 2019,30 March 2020,22:00,11.0m x 1.0m,
174,Cold Town House,4-6 Grassmarket,01 May 2019,26 November 2019,22:00,4.78m x 5.5m + 3.0m x 2.75m (irregular area),
175,Spitaki ,133-135 East Claremont Street,01 May 2019,31 August 2019,22:00,2.85m x 1.2m & 2.62m x 1.2m,
177,Braw,54 Belford Road,01 June 2019,22 December 2019,,2.0m x 2.0m ,
178,The Filling Station,74 Rose Street ,15 July 2019,02 September 2019,22:00,9.85m x 1.50m ,
179,Piccolino,103 High Riggs,01 April 2019,30 September 2019,,4.0m x 5.0m,
184,Wally Dug,32 Northumberland Street,21 June 2019,23 June 2020,,3.0m x 1.0m,
185,Inn on the Mile ,1 South Bridge,01 April 2019,31 March 2020,22:00,2.0m x 1.5m & 2.0m x 1.5m,
190,Hula,103-105 West Bow,26 April 2019,25 April 2020,,1.5m x 1.5m and 4.5m x 2.5m ,
191,The Black Bull, (Central Grassmarket Area),01 April 2019,30 September 2019,N/A,9.6m x 5.3m,
194, Bier Hoose ,379 Leith Walk,01 July 2019,31 October 2019,22:00,2.0m x 2.0m,
196,Made in Italy, (Central Grassmarket Area),01 July 2019,10 September 2019,N/A,25m2,
198,The White Hart Inn, (Central Grassmarket Area),01 April 2019,30 September 2019,N/A,35m2,
201,The Beehive Inn, (Central Grassmarket Area),01 April 2019,30 September 2019,N/A,3.3m x 1.4m + 5.3m x 4.4,
202,The Birchwood ,146 Marchmont Road,21 August 2018,20 August 2019,,2.5m x 1.8m ,
203,Café Andaluz,77B George Street,25 September 2018,24 September 2019,22:00,2.4m x 1.4m and 2.4m x 2.0m,
206,Black Cat,168 Rose Street,13 April 2019,12 October 2019,22:00,5.0m x 2.0m and 3.5m x 2.0m,
208,The Oz Bar,33 Candlemaker Row,19 April 2019,06 October 2019,,7.0m x 1.0m,
209,Bar Salsa,3A Cowgatehead,01 June 2019,31 May 2020,22:00,4.0m x 1.35m,
211,The Esplanade,62-64 Bath Street,01 September 2018,31 August 2019,22:00,11.0m x 1.0m + 6.0m x 1.0m,
215,Eteaket Ltd.,41 Frederick Street,22 May 2019,30 September 2019,,4.2m x 1.2m and 3.2m x 1.2m ,
216,Mussel & Steak Bar,110 West Bow,01 April 2019,30 September 2019,22:00,2.7m x 4.0m and 2.7m and 4.0m,
217,The Hermitage,1-5 Comiston Road,05 July 2019,31 October 2019,22:00,5m x 1.5m + 2m x 1.5m,
218,Bobby's Sandwich Bar,4 Greyfriars Place,01 August 2018,31 July 2019,,1.4m x 1.3m & 1.4m x 1.3m,
220,Costa Coffee,13A Castle Street,02 October 2018,01 October 2019,,3.8m x 2.0m,
222,Revolution Bar,30a Chambers Street,24 October 2018,23 October 2019,22:00,7.0m x 1.0m ,
223,Apex Waterloo Place,23-27 Waterloo Place,01 April 2019,30 September 2019,,14.0m x 1.5m,
224,National Library of Scotland,57 George IV Bridge,01 July 2019,30 June 2020,,5.0m x 1.5m and 5.0m x 1.5m,
225,Biddy Mulligans (Central Grass),Central Grassmarket,01 April 2019,30 September 2019,N/A,48m2,
230,The Windsor,45 Elm Row,15 April 2019,29 September 2019,,2.0m x 1.4m & 2.0m x 1.4m,
231,Maggie Dicksons (Central Grass),Central Grassmarket,01 April 2019,30 September 2019,N/A,50m2,
232,The Waterloo Bar,5 - 7 Waterloo Place,01 April 2019,31 October 2019,,3.0m x 1.0m & 1.0m x 1.0m,
234,Harbour Inn,4-6 Fishmarket Square,01 April 2019,30 September 2019,22:00,8.5m x 1.8m ,
235,Meze Meze ,71 Rose Street,15 July 2019,02 September 2019,22:00,5.0m x 1.5m + 5.0m x 1.5m ,
238,Café Vivo,136 Canongate,04 September 2018,03 September 2019,,1.5m x 1.0m & 1.5m x 1.0m,
242,Zara Mediterranean Bistro,176 Rose Street,05 June 2019,04 December 2019,22:00,2.6m x 2.9m + 1.9m x 2.9m,
244,The Granary ,32-34 Shore,01 April 2019,31 March 2020,22:00,8.0m x 1.0m,
245,The Manna House Bakery,22-24 Easter Road,01 August 2018,31 July 2019,,2.2m x 0.8m & 2.5m x 0.8m,
247,Crumbs Café,1A Logie Green Road,01 March 2019,31 October 2019,,3.50m x 1.20 and 3.60m x 1.20m,
249,Hendersons,94 Hanover Street,01 January 2019,31 December 2019,,2.0m x 1.0m,
254,Civerinos ,49 Forrest Road,04 May 2019,31 October 2019,22:00,3.0m x 1.5m and 3.0m x 1.5m,
256,Mrs MacIntyres Coffee House ,12 High Street,01 May 2019,30 April 2020,,2.0m x 1.0m,
257,83 Hanover Street,83 Hanover Street,17 July 2019,16 July 2020,22:00,2.2m x 1.6m,
260,Ransacked Black Oven,27-29 Marshall Street,01 April 2019,26 August 2019,22:00,3.0m x 3.0m & 6.0m x 3.0m,
263,Red Squirrel,21 Lothian Road,03 November 2018,02 November 2019,,2.6m x 1.5m & 3.2m x 1.5m,
264,Ghillie Dhu,2-6 Rutland Place,01 July 2019,30 June 2020,22:00,2.0m x 9.1m + 2.0m x 9.1m,
266,George IV Bar ,54-55 George IV Bridge,01 May 2019,30 April 2020,22:00,2.0m x 0.7m + 4.0m x 0.7m + 2.0m x 0.7m,
275,The Chocolate Tree,123 Bruntsfield Place,01 June 2019,30 September 2019,,2.0m x 1.5m ,
279,Elmrow Café,3 Elm Row,25 April 2019,25 October 2019,,2.5m x 2.0m,
280,Deacon Brodies Tavern,435 Lawnmarket,01 April 2019,31 March 2020,22:00,2.8m x 1.0m & 2.7m x 1.2m,
283,The Polwarth Tavern,35 Polwarth Crescent,31 May 2019,01 September 2019,,2.5m x 1.5m,
286,Popeyes Sandwich Bar,132 Portobello High Street,01 May 2019,31 October 2019,,4.5m x 1.5m,
289,17 The Square Ltd,17 North St. Andrew Street,10 June 2019,10 September 2019,,2.75m x 1.2m,
291,Angels with Bagpipes,343 High Street,10 July 2018,09 July 2019,22:00,3.7m x 2.7m ,
294,Grand Cru,75 Hanover Street,01 August 2018,31 July 2019,22:00,2.5m x 1.5m ,
295,Victoria,265 Leith Walk,28 March 2019,29 September 2019,22:00,4.0m x 2.5m ,
298,The Amber Rose,22-26 Castle Street,01 April 2019,31 March 2020,22:00,8.0m x 1.5m and 3.0m x 1.5m and 3.0m x 1.5m ,
301,Café Gallo ,96 Raeburn Place,17 June 2019,16 June 2020,,3.0m x 1.2m,
303,New Chapter,18 Eyre Place,07 June 2019,01 September 2019,,4.2m x 2.5m + 4.2m x 2.5m,
305,Café Montagu,12 Montagu Terrace,15 April 2019,22 October 2019,,1.5m x 1m and 1.5m x 1.0m,
307,Raging Bull,161 Lothian Road,25 June 2019,24 June 2020,,2.7m x 1.0m ,
308,Grey Horse Inn,20 Main Street,18 June 2019,18 September 2019,,3.5m x 1.5m ,
309,The Joker and the Thief ,71 Elm Row,01 April 2019,30 September 2019,,2.0m x 4.9m,
311,The Castle Arms (Victoria Tce),Victoria Terrace,01 April 2019,31 March 2020,22:00,7.0m x 1.2m & 2.0m x 1.0m,
313,Caffé Nero,177 Morningside Road,01 April 2019,31 March 2020,,13.0m x 1.5m,
317,Beirut Restaurant,20 Marshall Street,08 March 2019,06 November 2019,22:00,4.0m x 2.0m,
319,Cafe Edinburgh ,57 High Street,01 February 2019,31 January 2020,,2.5m x 1.5m + 2.5m x 1.5m,
324,Whiski Rooms,4-7 North Bank Street,01 April 2019,31 March 2020,22:00,3.6m x 1.0m & 2.0m x1.0m & 1.6m x 1.0m,
329,Slug and Lettuce ,113 - 115 George Street,01 April 2019,31 March 2020,22:00,1.5m x 5.1m & 1.5m x 5.1m,
333,Café Keno,36-38 High Street,21 March 2019,21 November 2019,,3.0m x 1.5m and 2.0m x 1.5m ,
336,Tempo Perso ,208 Bruntsfield Place,15 May 2019,15 September 2019,22:00,"5.9m x 3.2m, 1.5m x 1.6m and 6.0m x 1.1m",
337,Blackwood Coffee,235 Morningside Road,12 April 2019,31 October 2019,,5.7m x 0.6m,
341,Cafe Renroc,89-91 Montgomery Street,13 May 2019,30 September 2019,,3.5m x 2.0m,
343,Karine's Deli,376 Morningside Road,28 April 2019,29 September 2019,,3.0m x 4.0m,
344,Howies (Waterloo),29 Waterloo Place,01 April 2019,30 September 2019, ,28.0m x 1.5m,
347,Golf Tavern,30 Wrights Houses,17 August 2018,16 August 2019,22:00,7.1m x 1.5m,
348,The Abbey Bar,65-67 South Clerk Street,06 May 2019,06 October 2019,22:00,7.0m x 1.5m,
349,Jeremiah's Taproom,7-8 Elm Row,18 March 2019,31 October 2019,22:00,6.3m x 3.0m ,
350,The Black Bull,12 Grassmarket,01 April 2019,31 March 2020,22:00,3.2m x 2.0m & 3.2m x 2.0m,
351,Element,110-114 Rose Street,01 June 2019,31 May 2020,22:00,9.0m x 2.5m,
352,The Beehive Inn,18-20 Grassmarket,01 April 2019,31 March 2020,22:00,5.9m x 3.0m & 4.6m x 3.0m & 4.3m x 3.0m,
353,Scotts Bar,202 Rose Street,30 December 2018,29 December 2019,22:00,5.0m x 2.5m & 4m x 2.5m,
354,Doctors,32 Forrest Road,01 April 2019,31 March 2020,22:00,12.0m x 1.5m,
355,Rose Street Brewery,55-59 Rose Street,15 July 2019,02 September 2019,22:00,6.0m x 3.7m ,
356,Malt Shovel,11-15 Cockburn Street,01 April 2019,31 March 2020,22:00,2.7m x 1.5m and 2.6m x 1.5m and 5.5m x 1.5m and 2.5 x 1.5m,
359,Robbie’s Bar,367 Leith Walk,10 April 2019,31 October 2019,,7.0m x 1.3m + 9.0m x 4.275m,
360,Ryans Bar,2 Hope Street,10 April 2019,09 April 2020,22:00,2.6m x 1.8m & 16.5m x 1.5m,
361,56 North,2-8 West Crosscauseway,01 April 2018,30 September 2019,22:00,41.5m,
362,Theatre Royal,24-27 Greenside Place,20 May 2019,19 April 2020,,5.0m x 1.0m,
363,Old Bell Inn,233 Causewayside,10 April 2019,30 September 2019,,9.0m x 1.0m,
364,Tiles Bistro,1 St Andrew Square,10 April 2019,31 October 2019,,18.8m x 2.0m & 7.3m x 1.5m,
365,Boteco Do Brasil ,45-47 Lothian Street,01 April 2019,30 September 2019,22:00,9m x 2.5m ,
366,Brass Monkey,14 Drummond Street,01 April 2019,30 September 2019,,3.1m x 1.3m,
367,Roseburn Bar,1 Roseburn Terrace,10 April 2019,31 October 2019,,10.0m x 1.2m,
373,The Mussel Inn,61-65 Rose Street,12 July 2019,03 September 2019,22:00,6.7m x 2.0m & 2.9m x 2.0m ,
375,Amarone Restaurant & Bar,12-13 St. Andrew Square,27 June 2019,26 June 2020,22:00,10.0m x 2.0m,
377,Taste of Italy,9 Baxters Place,25 March 2019,27 September 2019,22:00,5.5m x 1.0m (25/03/19 - 28/5/19) and 2.75m x 3.8m (29/5/19 - 13/10/19),
379,Hanover Tap Room,112 Hanover Street,01 April 2019,31 March 2020,22:00,3.4m x 1.7m,
380,Alexander Graham Bell,126-128 George Street,01 April 2019,31 March 2020,22:00,6.0m x 2.0m  & 2.4m x 2.0m,
384,Cask and Barrel,115 Broughton Street,10 April 2019,30 September 2019,,10.0m x 1.0m,
385,Earl of Marchmont,22 Marchmont Crescent,01 April 2019,30 September 2019,22:00,6.0m x 3.0m and 2.0m x 1.3m,
386,Petit Paris,38-40 Grassmarket,01 April 2019,31 August 2019,22:00,4.8m x 3.0m & 3.2m x 3.0m,
391,The Street,2b Picardy Place,03 July 2019,27 June 2020,22:00,3.8m x 2.25m + 1.3m x 2.0m,
392,Port of Leith Bar,58 Constitution Street,01 May 2019,31 October 2019,22:00,1.8m x 3.0m and 1.8m x 3.0m ,
393,The Four in Hand ,216-218 Easter Road,01 May 2019,31 October 2019,,5.0m x 2.5m ,
395,Brass Monkey Leith,362 Leith Walk,23 February 2019,22 February 2020,,3.6m x 1.5m,
398,Gordons Trattoria,231 High Street,31 March 2019,30 March 2020,22:00,6.0m x 4.0m,
401,The Black Rose Tavern,49 Rose Street,15 July 2019,02 September 2019,22:00,6.0m x 3.0m,
402,Contini Restaurant ,103 George Street,11 April 2019,23 October 2019,22:00,12.65m x 1.5m + 2.0m x 1.22m,
403,Café Bellina ,33 Elm Row,01 March 2019,30 September 2019,,1.0m x 1.0m & 1.0m x 1.0m,
405,Maxies Bistro,5B Johnston Terrace,01 May 2019,30 April 2020,22:00,6.0m x 1.2m + 4.0m x 1.2m + 4.0m x 1.2m (for 12 months)  + 7.0m x 1.0m (extra area for 6 months summer),
406,Richmond Café,52 West Richmond Street,16 October 2018,15 October 2019,,1.0m x 1.0m & 3.0m x 2.7m,
408,The Royal McGregor,154 High Street,01 April 2019,31 March 2020,22:00,3.0m x 20.m & 3.0m x 2.0m,
410,Hard Rock Café,18-20 George Street,27 February 2019,26 February 2020,22:00,3.0m x 2.0m & 4.0m x 2.0m,
412,The Shore Bar,3 Shore,01 April 2019,31 October 2019,22:00,6.0m x 1.0m ,
414,Valvona & Crolla,19 Elm Row,01 June 2019,30 September 2019,,3.15 x 1.0m,
416,Shakespeare,65 Lothian Road,01 April 2019,31 March 2020,22:00,7.0m x 4.0m,
418,Montpeliers,159-161 Bruntsfield Place,01 April 2019,31 March 2020,22:00,4.1m x 1.0m + 2.9m x 1.0m,
419,Rabble,55a Frederick Street,01 April 2019,31 March 2020,22:00,"4.0m x 1.8m, 2.0m x 1.8m, 2.0m x 1.8m",
420,Candy Bar,113-115 George Street,01 April 2019,31 March 2020,22:00,5.3m x 1.6m & 1.4m x 1.6m,
423,Robertsons 37 Bar,37 Rose Street,15 July 2019,02 September 2019,22:00,2.7m x 4.0m,
424,The Queens Arms,49 Frederick Street,01 April 2019,31 March 2020,22:00,3.8m x 1.6m and 1.7m x 1.6m,
426,Boda Bar,229 Leith Walk,28 March 2019,29 September 2019,,3.5m x 1.5m ,
427,Milnes Bar,35 Hanover Street,01 April 2019,31 March 2020,22:00,7.0m x 2.0m,
428,Footlights Bar & Grill,7-11 Spittal Street,29 April 2019,28 October 2019,22:00,4.0m x 1.5m and 7.0m x 1.5m,
431,Bella Italia,175-177 High Street,01 April 2019,31 March 2020,22:00,5.0m x 2.2m & 1.2m x 2.2m,
432,Albanach,197 High Street,01 April 2019,31 March 2020,22:00,3.5m x 2.3m,
433,CC Blooms,23-24 Greenside Place,05 April 2019,04 October 2019,,"3.5m x 2.0m, 3.5m x 2.0m and 2.0m x 1.0m",
434,All Bar One,29-31 George Street,01 April 2019,31 March 2020,22:00,2.5m x 1.5m + 2.7m x 1.5m  (additional area 10.0m x 1.5m August not applied for),
435,Le Monde,16 George Street,24 June 2019,23 June 2020,22:00,4.8m x 1.5m & 3.2m x 1.5m,
436,Rose and Crown,170 Rose Street,01 April 2019,31 March 2020,22:00,4.0m x 2.7m & 4.0m x 2.7m,
437,Greyfriars Bobby,30 Candlemaker Row,01 April 2019,31 March 2020,22:00,4.5m x 1.2m & 4.5m x 1.2m,
438,Tigerlily,125 George Street,01 April 2019,31 March 2020,22:00,7.8m x 1 .5m,
441,Ryries Bar,1 Haymarket Terrace,01 July 2019,30 September 2019,,10.7m x 2.5m,
442,Kukina,235-237 Leith Walk,14 May 2019,07 December 2019,,3.0m x 2.5m,
444,Word of Mouth,3A Albert Street,23 October 2018,22 October 2019,,4.0m x 1.0m,
445,La Favorita,325-331 Leith Walk,25 March 2019,25 September 2019,22:00,7.3m x 2.1m,
446,Café Miro,25-25a The Promenade,01 July 2019,01 January 2020,22:00,12.0m x 1.25m,
448,Qupi,171 Leith Walk,01 April 2019,31 March 2020,,1.5m x 1.4m & 1.4m x 1.4m,
452,Gusto Restaurant,135 George Street,01 April 2019,31 March 2020,22:00,6.3m x 1.85m,
453,Sofis Bar,63-65 Henderson Street,28 March 2019,29 September 2019,22:00,4.25m x 1.10 m,
455,The High Dive,81-85 St. Leonards Street,01 May 2019,30 September 2019,,4.0m x 2.0m,
460,Golden Rule,30 Yeaman Place,10 April 2019,31 October 2019,,7.4m x 1.5m,
461,The Hanging Bat,133-135 Lothian Road,10 April 2019,31 October 2019,,3.18m x 1.0m,
466,Boozy Cow ,17 Frederick Street,17 September 2018,16 September 2019,22:00,5.0m x 1.5m and 1.8m x 1.5m ,
469,Mash Tun ,154 - 158 Easter Road,01 May 2019,30 September 2019,,5.0m x 1.0m ,
471,The Black Fox ,17 Albert Place,08 April 2019,07 October 2019,22:00,2.0m x 2.0m and 4.7m x 2.0m,
479,Vittoria ‘On the Bridge’ Restaurant,19 George IV Bridge,25 March 2019,25 September 2019,22:00,5.0m x 1.0m & 3.0m x 1.0m,
480,Frankenstein's,26 George IV Bridge,30 June 2019,29 June 2020,22:00,12.0m x 1.5m ,
482,Pizza Paradise,34 George IV Bridge,17 July 2019,17 September 2019,,5.0m x 1.0m ,
483,Subway,160 High Street,12 May 2019,11 May 2020,22:00,3.8m x 3.0m,
484,Cafe 1505,18 Nicolson Street,27 July 2018,26 July 2019,22:00,5.2m x 2.1m and 1.20m x 1.35m ,
489,Honeycomb & Co. (Nardinis),1 Merchiston Place,01 May 2019,31 October 2019,,4.8m x 2.4m ,
492,Café Yummy,12a Montagu Terrace,01 May 2019,31 October 2019,,1.8m x 1.10m,
493,Coffee House,144 High Street,02 May 2019,01 May 2020,,5.053m x 1.93m,
